,Model,Dataset,Batch-Normalization,Training Mode,Test Accuracy,Epsilon Budget,FGSM Test Accuracy,PGD Test Accuracy

ResNet50,CIFAR10,Yes - 3 of 4,standard,0.8776,[0.0313],0.3198,0.2224
ResNet50,CIFAR10,Yes - 4 of 4,standard,0.8306,[0.0313],0.3139,0.23255
ResNet50,CIFAR10,Yes - all,standard,0.8883,[0.0313],0.3672,0.2394
ResNet50,CIFAR10,No,standard,0.8668,[0.0313],0.2664,0.22585

ResNet50,CIFAR10,Yes - 1 of 4,standard,0.8652,[0.0313],0.3087,0.21875
ResNet50,CIFAR10,Yes - 2 of 4,standard,0.8812,[0.0313],0.34425,0.24365
ResNet50,CIFAR10,Yes - 3 of 4,standard,0.8681,[0.0313],0.3157,0.2171
ResNet50,CIFAR10,Yes - 4 of 4,standard,0.8478,[0.0313],0.3412,0.2741
ResNet50,CIFAR10,Yes - all,standard,0.8892,[0.0313],0.3691,0.256
ResNet50,CIFAR10,No,standard,0.8581,[0.0313],0.26215,0.2246

ResNet50_v2,CIFAR10,Yes - 1 of 4,standard,0.8732,[0.0313],0.313,0.22835
ResNet50_v2,CIFAR10,Yes - 2 of 4,standard,0.8676,[0.0313],0.31625,0.2346
ResNet50_v2,CIFAR10,Yes - 3 of 4,standard,0.8665,[0.0313],0.31475,0.22195
ResNet50_v2,CIFAR10,Yes - 4 of 4,standard,0.8586,[0.0313],0.30075,0.22935
ResNet50_v2,CIFAR10,No,standard,0.8551,[0.0313],0.26445,0.22445
ResNet50_v2,CIFAR10,Yes - all,standard,0.8707,[0.0313],0.3187,0.17455

VGG19,CIFAR10,Yes - 1 of 5,,0.9108,[0.0313],0.35995,0.29595
VGG19,CIFAR10,Yes - 2 of 5,,0.9181,[0.0313],0.3903,0.333
VGG19,CIFAR10,Yes - 3 of 5,,0.9188,[0.0313],0.38055,0.276
VGG19,CIFAR10,Yes - 4 of 5,,0.9182,[0.0313],0.3678,0.19185
VGG19,CIFAR10,Yes - 5 of 5,,0.9157,[0.0313],0.3552,0.1808
VGG19,CIFAR10,No,,0.9116,[0.0313],0.2603,0.16025
VGG19,CIFAR10,Yes - all,,0.919,[0.0313],0.3682,0.17995

ResNet50_v2,CIFAR10,Yes - 1 of 4,standard,0.879,[0.0313],0.32055,0.23955
ResNet50_v2,CIFAR10,Yes - 2 of 4,standard,0.8734,[0.0313],0.32475,0.24815

